compound_name,smiles,formal_charge,n_unpaired_electrons,n
cid-61212302,CC1CCCC(CNCC(F)(F)F)(N(C)C)C1,0,0,17
cid-84367451,CCCOc1ccc(/C=C/C(=O)NCCOc2ccc(OC)cc2)cc1,0,0,26
cid-786551,N#C/C(=C\c1ccc(-c2ccccc2)o1)C(=O)N1CCCCCC1,0,0,24
cid-61107431,CCOC(=O)c1ccsc1NS(=O)(=O)c1ccccc1N,0,0,21
cid-65447299,Cc1cc(NCCc2ccc3c(c2)CCO3)ccc1F,0,0,20
cid-126337616,CCCCc1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(Cl)c(OCc2cccc3ccccc23)c(OC)c1,0,0,39
cid-89587071,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(CNCC2CCCCC2)cc1,0,0,30
cid-59417574,CC(=O)OC1(CC(=O)O)CC1,0,0,11
cid-11730640,CN(C)C(=O)C(CCN1CCN(c2ccccc2OCCO)CC1)(c1ccccc1)c1ccccc1,0,0,36
cid-53476503,CC1(C)Oc2ccc(Nc3nc(Nc4ccc(N5CCOC(CO)C5)cc4)ncc3F)nc2NC1=O,0,0,36
cid-168400039,C[C@@H](c1ccc2c(c1CC(=O)CS(=O)(=O)c1cc(C(C)(C)O)co1)CCC2)C1CCCC1,0,0,32
cid-8500432,O=C(NNS(=O)(=O)c1ccccc1F)c1ccc(Cl)cc1,0,0,21
cid-37480326,COc1ccc(S(=O)(=O)NC[C@H]2COc3ccccc3O2)cc1F,0,0,24
cid-111238749,CCCCOCCCNC(=NC)NCCc1csc(CC)n1,0,0,22
cid-83001341,COc1cc(N)c(N2CC(C)OC(C)C2)cc1OC,0,0,19
cid-24876236,Cc1cc(-c2nnco2)sc1-c1ccc(NC(=O)c2c(F)cncc2F)nc1,0,0,28
cid-116625079,CC(C)n1ccn(CC2OCCc3ccccc32)c1=O,0,0,20
cid-112205356,CN=C(NCc1ccn(C)c1)NCC(C)c1cccs1,0,0,20
cid-117676078,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(C)c2)nc1N1CC[C@H](NC(=O)OC(C)(C)C)C1,0,0,45
cid-5123270,CCc1ccc(N2C(=O)NC(=O)C(=Cc3cc(C)n(-c4ccc(F)cc4)c3C)C2=O)cc1,0,0,32
cid-17519688,Cc1ccc(OCC(=O)Nc2ccc(-c3nccs3)cc2)c(Br)c1,0,0,24
cid-116997137,CNc1ccc(-c2ccc3c(c2)CCN3C)cc1,0,0,18
cid-10090455,CC[N+](CC)=c1ccc2nc3ccccc3sc-2c1,1,0,19
cid-79653183,CC1CCCCN1S(=O)(=O)N(C)CC(C)(C)CN,0,0,18
cid-90447086,N=C(/C=C\C(=N)C1=CC=CCN1)C1=CC=CCN1,0,0,18
cid-56595720,Cc1cc(C)c(CNc2nc(=O)n(Cc3ccc(-n4cccn4)cc3)c(=O)n2Cc2ccc(OC(F)F)cc2)cn1,0,0,41
cid-169377411,NC1=NC2(CCCCC2)N(c2ccc([N+](=O)[O-])c([N+](=O)[O-])c2)C(N)=N1,0,0,25
cid-131001639,CCc1noc([C@@H]2CC[C@@H]2C(=O)O)n1,0,0,14
cid-64445717,Cc1[nH]ncc1C(=O)Nc1ccccc1C(=O)O,0,0,18
cid-106832968,Cc1cc(S(=O)(=O)NCCCOCC2CC2)ccc1C#N,0,0,21
cid-143328421,COC(CN(C)C)C(O)c1ccccc1C,0,0,16
