compound_name,smiles,formal_charge,n_unpaired_electrons
cid-3644219,COC(=O)c1cc(NC(=O)CSc2nnc(-c3cc(OC)c(OC)c(OC)c3)o2)cc(C(=O)OC)c1,0,0
cid-9461338,COc1ccc(CC[NH+](C)[C@H](C)C(=O)Nc2ccc(F)c(Cl)c2)cc1OC,1,0
cid-104846769,CNc1nc(CC(F)(F)F)nc(-c2ccccc2)c1C,0,0
cid-7785542,CNC(=O)NC(=O)[C@@H](C)OC(=O)c1cc2ccccc2oc1=O,0,0
cid-163805508,C/C=C\C(C)=C/NCCO,0,0
cid-111743451,CCNC(=NCC1(c2cccc(Br)c2)CCC1)N1CCC(c2cnn(C)c2)C1,0,0
cid-34110132,CCCc1nnc(NC(=O)CCCNC(=O)c2ccco2)s1,0,0
cid-9257909,CC(C)[C@H](NC(=O)CCCN1C(=O)c2ccccc2C1=O)c1ccc2c(c1)OCCO2,0,0
cid-163635192,CCOC(=O)N1C2COCC1CC(N)C2,0,0
cid-82292572,COc1ccc(C(C#N)CC(=O)O)cc1Cl,0,0
cid-43843579,CCOc1ccc(CN(C(=O)C2C(C=C(C)C)C2(C)C)C2CCS(=O)(=O)C2)cc1,0,0
cid-9463602,COc1cc(Br)c(CC(=O)NC2=NCCS2)cc1OC,0,0
cid-116715017,CCC(OC)C(N)CCc1cccs1,0,0
cid-142662014,CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccccc3)c(C(F)(F)F)c2)cc1,0,0
cid-103203869,CN(Cc1cccc(CN)c1)c1nnc2ccccc2n1,0,0
cid-81192235,Nc1ccc(F)cc1S(=O)Cc1ccc2ccccc2n1,0,0
cid-50759372,Cc1ccc2c(=O)c(C(=O)c3cccc(Cl)c3)cn(Cc3ccc(F)cc3)c2n1,0,0
cid-168984073,CN1C(=O)/C(=C/Br)N(CCOCCO[Si](C)(C)C(C)(C)C)C1=O,0,0
cid-146596169,COc1ccc(CC(=O)NC2CNCC2c2ccc(C(F)(F)F)cc2)cc1,0,0
cid-116605786,Nc1ccc(/C=C/C(=O)c2ccccc2C(F)(F)F)cc1,0,0
cid-5618372,CCOC(=O)/C(=N\Nc1ccc(Br)cc1)Sc1nnnn1-c1ccccc1,0,0
cid-92113376,Cc1cc(F)ccc1S(=O)(=O)N1CCCN(S(=O)(=O)c2cn(C)cn2)CC1,0,0
cid-71916980,COCCNc1ccccc1CNC(=O)C(C)N1CCCCCC1,0,0
cid-119800037,Nc1ccc(CC(=O)NCCCOCC2CCOC2)cc1,0,0
cid-23263901,COc1ccc2c(c1)CCC1C2=NCC2(C)C(O)CCC12,0,0
cid-61766709,CC(C)CN(CC(C)C)C(C)C(C)O,0,0
cid-11730640,CN(C)C(=O)C(CCN1CCN(c2ccccc2OCCO)CC1)(c1ccccc1)c1ccccc1,0,0
cid-60558548,Cc1ccc(CN(CCN(C)C)C(=O)c2ccc3c(c2)CCCC3)o1,0,0
cid-163883357,CC(=O)C(C#N)=CNc1ccc(N(C)c2ncnc3[nH]ccc23)cc1,0,0
cid-132391725,O=S(=O)(CC1CCCC(F)(F)C1)NCCc1ccns1,0,0
cid-171771951,NS(=O)(=O)c1cccc(NC(=O)c2c3ccccc3nn2CC2CCCO2)c1,0,0
cid-162450482,CCC(C(N)=O)c1nc2c(cc1C)N(c1ccc(F)cc1)CCC2,0,0
cid-159473132,COC(=O)[C@@]1(O)C[C@@H](O)[C@@H](C)C([C@H](O)[C@H](O)CNC(=O)c2cccc(Oc3ccccc3)c2)O1,0,0
cid-118560105,CC(C)(C)OC(=O)N(CCCCN(OC(C)(C)C)C(=O)CCCNC(=O)CCOCCOCCOCCOCCN=[N+]=[N-])CCCNOC(=O)C(C)(C)C,0,0
cid-143191831,CC(C)(C)NP(=O)(O)c1ccc(-c2nc(N)sc2C(=O)C(C)(C)C)o1,0,0
cid-23983936,CC(C)=CCC/C(C)=C/CN1C(=O)[C@]2(O[C@H](CCn3cc(C(CO)c4ccccc4)nn3)[C@@H]([Si](C)(C)O)[C@@H]2C)c2cc(N3C(=O)CCc4ccccc43)ccc21,0,0
cid-67327227,Cc1ccc(COc2ccc(Oc3c(C)cc(/C=C/C(=O)N4CCN(Cc5ccc(CCOc6ccc(F)cc6)cc5)CC4)cc3Cl)nc2)cc1,0,0
cid-64886965,CC1(C)C(=O)NC(C2CC2)C(=O)N1CCOCC(F)(F)F,0,0
cid-20658728,COC(=O)Nc1ccc(Br)c(F)c1,0,0
cid-103086864,COCCNC(C)c1nnnn1C(C)(C)COC,0,0
cid-109800501,CCNC(=NCC1(c2ccccc2OC)CCCC1)NC1CCN(C(=O)C(C)C)C1,0,0
cid-9845737,COc1ccc(C(=O)Nc2cc(C(=O)Nc3cccc(N(C)C)c3)ccc2C)cc1OC,0,0
cid-90447086,N=C(/C=C\C(=N)C1=CC=CCN1)C1=CC=CCN1,0,0
cid-133206053,CCC(C(=O)NCc1ccc(CN2CCCCC2)cc1)N(c1ccc(F)c(Cl)c1)S(C)(=O)=O,0,0
cid-91045343,C=CCCCCC[C@H](C(=O)OC(C)(C)C)C(=O)N1Cc2ccc(Oc3cccc(Cl)c3)cc2CC1C(=O)N[C@]1(C(=O)OCC)C[C@H]1C=C,0,0
cid-50977015,COc1cc(-c2c(-c3ccccc3)ncn2CCF)cc(Cl)c1O,0,0
cid-167884372,Cn1cc(CC2CC(=O)N(Cc3nnc(C(F)F)s3)C2=O)cn1,0,0
cid-67547813,CC(C)OC(=O)c1cncn1C1CCCc2ccc(NCS(C)(=O)=O)cc21,0,0
cid-22178194,CCC(OC)C(C)(C)C#N,0,0
cid-62848317,CNc1ccc(S(=O)(=O)NCc2cnc(C)cn2)cc1,0,0
cid-822733,NNC(=O)CNC(=O)c1cccs1,0,0
cid-170832832,CC(C)(C)OC(=O)NCC(O)C(O)c1ccc([N+](=O)[O-])cc1C=O,0,0
cid-100292237,COC(=O)CCN1C(=S)N[C@@H](c2ccccn2)[C@H]1c1cc(C)n(C2CCCC2)c1C,0,0
cid-102745610,CC1(C)CN(C(=O)c2ccc(N)nc2)CC(C)(C)O1,0,0
cid-4969198,CC(NC(=S)NCCc1ccccc1)c1ccc(-c2ccccc2)cc1,0,0
cid-153537066,Cc1ccc2c(c1)Sc1cc(OC3CC(OC4CCN(C(=O)OC(C)(C)C)CC4)C3)ccc1N2,0,0
cid-66769118,CC1CCC(C2(CN)CCCC2)CC1,0,0
cid-121253674,Cc1ccc(S(=O)(=O)N2CCCC(Nc3ncc4nc(Nc5c(F)cc(F)cc5F)n(C5CCC(C(N)=O)CC5)c4n3)C2)cc1,0,0
cid-137416128,CC(C)c1ccc(N(I)c2cccc3c2sc2c(F)cccc23)cc1,0,0
cid-56053706,CCOC(=O)c1ccc(N2CCCN(C(=O)c3cccc(Cl)c3)CC2)nc1,0,0
cid-59417574,CC(=O)OC1(CC(=O)O)CC1,0,0
cid-106199746,Nc1cc(F)c(Br)cc1OCCC1CCC1,0,0
cid-167730644,O=C1CCC(N2Cc3cccc(CNC4C5CNC4C5)c3C2=O)C(=O)N1,0,0
cid-105394622,CCOC(c1ccccc1)C(O)c1cc(F)ccc1Cl,0,0
cid-112313190,O=C(CNc1ccccc1[N+](=O)[O-])N(CCO)C1CC1,0,0
cid-91705806,CCCCCCCCCCCOC(=O)C(CC)(CC)C(=O)Oc1c(Cl)cc(Cl)c2ccccc12,0,0
cid-9939411,COc1cc2cc(C(=O)N3CC(CCl)c4c3cc(NC(=O)OCc3ncn(C)c3[N+](=O)[O-])c3ccccc43)[nH]c2c(OC)c1OC,0,0
cid-124490104,COc1cc2c(cc1OC)[C@@H]1[C@H](C2)C[C@H]2CCCCN21,0,0
cid-63685215,CCCOCCOCCC(=O)Nc1ccccc1N,0,0
cid-105995733,CC(CC(=O)O)CC(=O)NC(=O)NCCC1CCCCO1,0,0
cid-170465681,Cc1cc(C#CCCBr)ccc1O,0,0
cid-118243054,CCCCCCCCCCC(O)CN(CCC)CCN1CCN(CCN)CC1,0,0
cid-10141844,O=C(O)CC(NC(=O)CNC(=O)CCCc1nc2ccccc2[nH]1)c1ccc(-c2cccc(F)c2)cc1,0,0
cid-42537649,C=C(C)COc1nc(-c2ccco2)c2c(c1C#N)CCC2,0,0
cid-162126025,CCOC(=O)c1cccc2nc(OCC)n(Cc3ccc(-c4ccccc4C#N)cc3)c12,0,0
cid-119661494,Cc1noc(C)c1CSCC(=O)N1CCC(OCCCN)CC1,0,0
cid-175393876,CCC(=O)OCC(CC)CC(CC)CC,0,0
cid-71454412,O=c1n([C@H]2CO[C@H](CO)O2)cc(F)c2nc(CO)cn12,0,0
cid-120013976,CN(C(=O)c1ccc(N)c([N+](=O)[O-])c1)C1CC2CCC(C1)N2,0,0
cid-136699805,C/C(=N\O)c1sc(-c2ccncc2)nc1-c1cccc(C(=O)O)c1,0,0
cid-64904927,CCCNC1CCC(Sc2cnn(C)c2)C1C,0,0
cid-120516364,CNC(=O)c1cccc(CCC(=O)N(CCC(=O)O)CC(C)C)c1,0,0
cid-140172473,CCCCCCC(=S)C#N,0,0
cid-112253713,CCNC(=NCc1nc(C)c(C)s1)NCC(C(C)C)N1CCN(C)CC1,0,0
cid-69788112,CN(C)C(C)(C)COC(=O)[C@H]1NC[C@H]2CCCC[C@@H]21,0,0
cid-64788902,Cc1ccc(C)c(CC(=O)Nc2ccc(O)cc2Cl)c1,0,0
cid-103517441,CC(C)C(C)S(=O)(=O)CCCOc1ccc(C#N)cc1,0,0
cid-17746140,Cc1ccccc1CS(=O)(=O)N1CCC(C(=O)NCc2ccc(Cl)cc2)CC1,0,0
cid-118503286,c1ccc(-c2cc(-c3ccccc3)nc(-n3c4ccc(-c5ccc6c(c5)c5cc(-c7ccc8oc9cc%10c(cc9c8c7)sc7ccccc7%10)ccc5n6-c5ccccc5)cc4c4cc5c(cc43)c3ccccc3n5-c3ccccc3)n2)cc1,0,0
cid-109159332,CCN(C(=O)c1ccc(NC2CCS(=O)(=O)C2)nc1)c1cccc(C)c1,0,0
cid-65861359,CC(=O)CCc1ccc(OCc2c(Cl)c(C)nn2C)cc1,0,0
cid-119617984,CSC(C)C(=O)Nc1cc2c(cc1N)OCO2,0,0
cid-91718366,CCCCCCCCCCCCCCCOC(=O)CCCCCC(=O)OCC(C)C,0,0
cid-72201614,CN(Cc1cc(C(F)(F)F)cc(Cl)c1O)c1ccc(C(=O)OC(C)(C)C)c(O)c1,0,0
cid-156538644,Cc1nc(N(c2ccccc2)C(C)c2cccc(C(F)(F)C(C)(C)O)c2F)c2cc3c(cc2n1)n(C)c(=O)c(=O)n3C,0,0
cid-60231619,CCN(Cc1ccccc1NC(=O)Cc1c[nH]c2cc(Cl)ccc12)C(=O)OC(C)(C)C,0,0
cid-121942326,CC1(C)CCC(CC(=O)NC2(C(=O)O)CCOCC2)CC1,0,0
cid-120770505,N[C@@H]1CN(Cc2cnc(-c3ccccc3)[nH]2)C[C@H]1c1ccccc1,0,0
cid-160537726,CCc1ccc(CP(=O)(c2ccccc2)c2ccccc2)cc1,0,0
cid-134892166,NC1=NC(Br)=CC2=C(CCCCC2)C1,0,0
cid-2664126,CCOCc1c(C(=O)Nc2ccc(C)c(Cl)c2)oc2ccccc12,0,0
cid-22381032,Cc1cc(C(=O)CO)ccc1O,0,0
cid-129646145,CN1C(=O)C2=NC=NC2=NC1(C)C,0,0
cid-73122581,O=C1C(=O)N(C2CCCCC2)C(c2ccc(Cl)cc2)C1=C(O)c1ccccc1,0,0
cid-6707983,CC(=O)NCCCCCC(=O)Nc1ccc([C@H]2O[C@@H](CSc3ccc(NC(C)=O)cc3)C[C@@H](c3ccc(CO)cc3)O2)cc1,0,0
cid-16952070,CCOc1ccc2nc(NC(=O)c3cc(C)n(C)n3)sc2c1,0,0
cid-79542172,CCCc1c(N)nnn1Cc1ncon1,0,0
cid-173622890,COC(=O)C(C)(C)C=CCO[Si](C)(C)C(C)(C)C,0,0
cid-83187635,Cc1cc(C(C)(C)C)ccc1Oc1ncc(CN)c(C)n1,0,0
cid-3450608,CCOC(=O)C1CCN(C(C)C(=O)Nc2c(C(=O)OC)[nH]c3ccc(C)cc23)CC1,0,0
cid-4083234,CCCCC(C)=NNC(=O)c1ccc(C(=O)NN=C(C)CCCC)cc1,0,0
cid-18196450,COc1ccc(C(=O)NC(=O)CN2CCN(CCOc3ccc(Cl)cc3)CC2)cc1,0,0
cid-171547887,Cc1cc(-c2cccc(Br)c2)nn1-c1ncnc2sccc12,0,0
cid-61751249,CC1CCC(N)C(CCCOCC(F)(F)F)C1,0,0
cid-43665433,COc1cccc(NC2CC(C)N(C)CC2C)c1,0,0
cid-53152801,Cc1cccc(Nc2nc(C)c(C(=O)Nc3cccc(Cl)c3F)s2)c1,0,0
cid-56556290,CC1CCN(c2ccc(NC(=O)C3CCCN(C(=O)c4ccc(F)cc4)C3)cc2)C1,0,0
cid-116958202,CNC(c1cccc(OC)c1)C1(C(=O)O)CC1,0,0
cid-116378361,Cc1cc(C(=O)NCc2ccoc2)sc1C#CCN,0,0
cid-42866218,CCN(CC)C(=O)c1csc(-c2ccc(OCc3ccc(F)cc3)cc2F)n1,0,0
cid-82219285,CCc1cccc(OCc2nn3c(C#N)c(C)nc3s2)c1,0,0
cid-162927555,C/C1=C\CC(C)(C)/C=C/C[C@](C)(O)CCC1,0,0
cid-161036753,O=C(Cc1ccc(Nc2ccnc(Cl)n2)cc1)Cc1ccc(OC(F)(F)F)cc1,0,0
cid-445908,OC1=CCCC=C1,0,0
cid-168535302,CC(Oc1ccc(C=NNC(N)=S)cc1Br)C(=O)O,0,0
cid-7815372,C[C@H]1CCCCN1CC(=O)Nc1cc([N+](=O)[O-])ccc1Cl,0,0
cid-56544666,CCc1ccc(-c2cc(NC(=O)c3ccc(NC(=O)C4CC4C)cc3)on2)cc1,0,0
cid-105420798,CCNc1cccc(NCC2(N(C)C)CCC2)c1[N+](=O)[O-],0,0
cid-80594605,O=C(Nc1ccc(F)cc1I)C1CCCCS1,0,0
cid-106650185,CC(C1CC1)C(NN)C1=CCCCCC1,0,0
cid-81857463,Cc1nc(N(C)CCS(C)(=O)=O)ccc1C(=O)O,0,0
cid-53120767,CC1(C(=O)NCc2ccccc2)Cc2ccccc2C(=O)N1Cc1cc(F)cc(F)c1,0,0
cid-69008258,CCCS(=O)(=O)c1ccc(NC(=O)c2cnc3c(cnn3CC)c2NC2CCOCC2)cc1,0,0
cid-146235981,CCCCN(Cc1cccs1)C(=O)OCC(CCCCNC(=O)OCc1ccccc1)NC(=O)OC(C)(C)C,0,0
cid-125907910,O=C1/C(=C\c2cc(Br)c(OCc3cccc([N+](=O)[O-])c3)c(Br)c2)SC(=S)N1c1ccccc1,0,0
cid-68151619,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cccc(OC)c5F)C4)C[C@@H]3C(=O)O)c2c1,0,0
cid-5410493,Cc1ccc(C(=O)/C(C#N)=N/Nc2ccc(Cl)cc2Cl)cc1,0,0
cid-133756789,CC(C)Cn1nnnc1SC(C)C(=O)NCc1cccs1,0,0
cid-169774850,COC(=O)c1cc(C#N)cn1Cc1ccnc(F)c1,0,0
cid-4358739,CCCCN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc(OC)cc2OC)C1=O,0,0
